"Index","Množství","Objednací číslo","Objednací číslo výrobce","Popis","Referenční číslo zákazníka","K dispozici","Zpětná objednávka","Jednotková cena","Rozšířená cena CZK"
"1","1","NHD-C0220BIZ-FSW-FBW-3V3M-ND","NHD-C0220BIZ-FSW-FBW-3V3M","LCD MOD 40DIG 20X2 TRANSFLCT WHT","","1","0","258,55000","258,55 Kč"
"2","5","MCP23008T-E/SOCT-ND","MCP23008T-E/SO","IC XPNDR 1.7MHZ I2C 18SOIC","","5","0","28,13000","140,65 Kč"
"3","5","SW414-ND","B3F-4055","SWITCH TACTILE SPST-NO 0.05A 24V","","5","0","7,31000","36,55 Kč"
"4","1","505-AD831APZ-ND","AD831APZ","IC MIXER 500MHZ DWN CONV 20PLCC","","1","0","557,31000","557,31 Kč"
"5","10","4518-AO3400ACT-ND","AO3400A","30V 5.8A 35MR@10V,5.8A 1.4W 1.4V","","10","0","2,41700","24,17 Kč"
"6","5","296-14271-1-ND","CD4051BM96","IC MUX 8:1 240OHM 16SOIC","","5","0","11,37000","56,85 Kč"
"7","5","74HC595DCT-ND","74HC595D","IC SR TRI-STATE 8BIT 16-SOIC","","5","0","5,48000","27,40 Kč"
"8","5","296-31815-1-ND","SN74HC574DBR","IC FF D-TYPE SINGLE 8BIT 20SSOP","","5","0","11,58000","57,90 Kč"
"9","3","296-CC2340R53E0RKPRCT-ND","CC2340R53E0RKPR","SIMPLELINK 32BIT ARM CORTEX-M0+","","3","0","65,70000","197,10 Kč"

