"Symbol zákazníka";"Symbol";"Označení výrobce";"Výrobce";"Množství";"Jednotka";"Cena bez DPH";"Cena s DPH";"Hodnota bez DPH";"Hodnota s DPH";"Měna"
"";"CL10B222KB8NNNC";"CL10B222KB8NNNC";"SAMSUNG";"10";"ks";"0.47101";"5.72";"4.73";"5.72";"CZK"
"";"CL21B225KAFNNNE";"CL21B225KAFNNNE";"SAMSUNG";"10";"ks";"1.0078";"12.2";"10.08";"12.2";"CZK"
"";"CL21A226MAYNNNE";"CL21A226MAYNNNE";"SAMSUNG";"5";"ks";"1.4192";"8.71";"7.2";"8.71";"CZK"
"";"CL10C121JB8NNNC";"CL10C121JB8NNNC";"SAMSUNG";"2";"ks";"1.36387";"3.22";"2.66";"3.22";"CZK"
"";"0603B104K500CT";"0603B104K500CT";"WALSIN";"10";"ks";"0.79943";"9.67";"7.99";"9.67";"CZK"
"";"CC0603BRNPO9BNR47";"CC0603BRNPO9BNR47";"YAGEO";"2";"ks";"1.8411";"4.39";"3.63";"4.39";"CZK"
"";"USB4105-GF-A";"USB4105-GF-A";"GCT";"5";"ks";"14.487";"87.64";"72.43";"87.64";"CZK"
"";"G6EU-134P-US-5DC";"G6EU-134P-US 5VDC";"OMRON Electronic Components";"2";"ks";"186.54";"451.41";"373.08";"451.41";"CZK"
"";"DR125-2R2-R";"DR125-2R2-R";"EATON ELECTRONICS";"10";"ks";"15.746";"190.53";"157.46";"190.53";"CZK"
"";"MLZ1608A1R0WT";"MLZ1608A1R0WT000";"TDK";"2";"ks";"2.3983";"5.87";"4.85";"5.87";"CZK"
"";"LQW18AN39NG00D";"LQW18AN39NG00D";"MURATA";"2";"ks";"1.8949";"4.63";"3.83";"4.63";"CZK"
"";"NL03JTCR82";"NL03JTCR82";"Viking";"10";"ks";"2.838";"34.34";"28.38";"34.34";"CZK"
"";"ERJHP6D4700V";"ERJHP6D4700V";"PANASONIC";"10";"ks";"1.8896";"22.87";"18.9";"22.87";"CZK"
"";"WR08X1200FTL";"WR08X1200FTL";"WALSIN";"10";"ks";"0.59133";"7.03";"5.81";"7.03";"CZK"
"";"ERA6AEB821V";"ERA6AEB821V";"PANASONIC";"5";"ks";"1.5165";"9.09";"7.51";"9.09";"CZK"
"";"RC0805FR-0775RL";"RC0805FR-0775RL";"YAGEO";"5";"ks";"0.8033";"4.99";"4.12";"4.99";"CZK"
"";"RCA0805100RFKEA";"RCA0805100RFKEA";"VISHAY";"10";"ks";"0.562";"6.74";"5.57";"6.74";"CZK"
"";"CRCW080549R9FKE";"CRCW080549R9FKEA";"VISHAY";"5";"ks";"2.3014";"14.07";"11.63";"14.07";"CZK"
"";"OSC25M-3.3I/S5";"OSC25M-3.3I/S5";"YIC";"3";"ks";"26.533";"96.32";"79.6";"96.32";"CZK"
"";"06035A5R0CAT2A";"06035A5R0CAT2A";"KYOCERA AVX";"3";"ks";"1.5431";"5.57";"4.6";"5.57";"CZK"
