"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4","4","470nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C6,C7","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_4.3mm_M4_DIN965_Pad_TopBottom","~"
"J1","1","Conn_01x05","","","","Connector_PinSocket_2.00mm:PinSocket_1x05_P2.00mm_Vertical","~"
"J2","1","Conn_01x05","DNP","","","Connector_PinSocket_2.00mm:PinSocket_1x05_P2.00mm_Vertical","~"
"Q1","1","BC817","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf"
"R1","1","0R","DNP","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4,R5,R6","4","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2,SW3,SW4","4","SW_Push","","","","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","~"
"TP1,TP2","2","TestPoint","","","","TestPoint:TestPoint_Pad_D3.0mm","~"
"U1","1","NHD-C0220BIZ","","","","Display:NHD-C0220BiZ","http://www.newhavendisplay.com/specs/NHD-C0220BiZ-FSW-FBW-3V3M.pdf"
"U2","1","MCP23008-xSO","","","","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/MCP23008-MCP23S08-Data-Sheet-20001919F.pdf"
