Reference,Value,Qty,Part_num
"C1,C9,C21,C27,C28,C29,C30,C37,C38",100nF,9,
"C2,C3,C4,C5,C10,C12,C13,C22,C25,C26",10uF,10,
"C6,C7",2.2nF,2,
"C8,C11",2.2uF,2,
"C15,C16",470nF,2,
"C23,C24",22uF,2,
"C31,C34,C35",5pF,3,
C32,130pF,1,
"C33,C40,C42",100nF,3,
C36,510pF,1,
C39,44pF,1,
C41,TBD,1,
D1,WE-TVS-824015043,1,
D2,SMAJ5.0CA,1,
"D3,D4,D6",B240,3,
D5,SMAJ36A,1,
"D7,D8",SMAJ5.0A,2,
"J1,J3",Conn_01x05,2,
J6,USB_C_Receptacle_USB2.0_16P,1,USB4105-GF-A
K1,G5V-1,1,
L2,2.2uH,1,DR125-2R2-R
L3,1uH,1,
L4,40nH,1,
L5,430nH,1,
"L6,L7",MABAES0060,2,
L8,900nH,1,
Q1,BC817,1,
"R1,R2,R3,R6,R7,R16",10K,6,
"R8,R10",470,2,
"R9,R11",3.3K,2,
"R12,R13",TBD,2,
R15,1K,1,
"R22,R23",5.1K,2,
R25,120,1,
R26,820,1,
"R27,R33,R34",75,3,
R28,100,1,
R29,200,1,
R30,50,1,
"R31,R32",5K,2,
U1,ESP32-C3-WROOM-02,1,
U2,PCM5102A,1,
U4,TPA0211,1,
U5,USBLC6-2SC6,1,
U6,AP63203WU,1,
U7,LD1117STR,1,
U8,AD831,1,
Y1,OSC25M-3.3I/S5,1,
,,,
"C1,C2,C3,C4",470nF,4,
"C5,C6,C7",100nF,3,
J1,Conn_01x05,1,
J2,Conn_01x05,1,
Q1,BC817,1,
R1,0R,1,
R2,1K,1,
"R3,R4,R5,R6",10K,4,
"SW1,SW2,SW3,SW4",SW_Push,4,
"TP1,TP2",TestPoint,2,
U1,NHD-C0220BIZ,1,
U2,MCP23008-xSO,1,
